0,60.9252,0.00395173,enc:[Linear(100),Linear(650)] [100] dec:[Linear(100)]
0,64.1584,0.00403386,enc:[Linear(100)] [100] dec:[Linear(700)]
0,64.1751,0.00393905,enc:[Linear(100)] [30] dec:[Linear(100)]
0,64.2934,0.00392665,enc:[Linear(100)] [50] dec:[Linear(100)]
0,64.2947,0.00391092,enc:[Linear(100)] [100] dec:[Linear(100)]
0,64.5789,0.00396752,enc:[Linear(100)] [20] dec:[Linear(100)]
0,64.7288,0.00395722,enc:[Linear(100)] [40] dec:[Linear(100)]
0,64.7834,0.00393043,enc:[Linear(100)] [60] dec:[Linear(100)]
0,102.1768,0.00386286,enc:[Linear(100)] [50] dec:[Linear(50)]
0,103.9938,0.00396721,enc:[Linear(650)] [60] dec:[Linear(100)]
0,104.1834,0.00395167,enc:[Linear(100),Linear(150)] [60] dec:[Linear(100)]
0,104.4548,0.00386325,enc:[Linear(100)] [100] dec:[Linear(50)]
0,104.4581,0.00399347,enc:[Linear(100)] [20] dec:[Linear(100),Linear(100)]
0,104.8365,0.00391185,enc:[Linear(100),Linear(200)] [100] dec:[Linear(100)]
== generation
0,60.9252,0.00395173,enc:[Linear(100),Linear(650)] [100] dec:[Linear(100)]
0,64.1584,0.00403386,enc:[Linear(100)] [100] dec:[Linear(700)]
0,64.1751,0.00393905,enc:[Linear(100)] [30] dec:[Linear(100)]
0,64.2934,0.00392665,enc:[Linear(100)] [50] dec:[Linear(100)]
0,64.2947,0.00391092,enc:[Linear(100)] [100] dec:[Linear(100)]
0,64.5789,0.00396752,enc:[Linear(100)] [20] dec:[Linear(100)]
0,64.7288,0.00395722,enc:[Linear(100)] [40] dec:[Linear(100)]
0,64.7834,0.00393043,enc:[Linear(100)] [60] dec:[Linear(100)]
0,102.1768,0.00386286,enc:[Linear(100)] [50] dec:[Linear(50)]
0,103.9938,0.00396721,enc:[Linear(650)] [60] dec:[Linear(100)]
0,104.1834,0.00395167,enc:[Linear(100),Linear(150)] [60] dec:[Linear(100)]
0,104.4548,0.00386325,enc:[Linear(100)] [100] dec:[Linear(50)]
0,104.4581,0.00399347,enc:[Linear(100)] [20] dec:[Linear(100),Linear(100)]
0,104.8365,0.00391185,enc:[Linear(100),Linear(200)] [100] dec:[Linear(100)]
1,150.1867,0.00402363,enc:[Linear(100),Linear(400)] [20] dec:[Linear(100),Linear(100)]
1,151.0715,0.00403093,enc:[Linear(650)] [60] dec:[Linear(250)]
1,151.4069,0.00401163,enc:[Linear(650)] [60] dec:[Linear(200)]
1,151.9496,0.00401983,enc:[Linear(100),Linear(650)] [100] dec:[Linear(350)]
1,152.1052,0.00392544,enc:[Linear(100),Linear(150)] [20] dec:[Linear(100)]
1,152.6045,0.00393735,enc:[Linear(100),Linear(150),Linear(50)] [60] dec:[Linear(100)]
1,152.7153,0.00400376,enc:[Linear(100),Linear(300)] [30] dec:[Linear(100)]
1,153.2274,0.00405157,enc:[Linear(100)] [60] dec:[Linear(100),Linear(1000)]
1,189.2866,0.00398662,enc:[Linear(300)] [60] dec:[Linear(100)]
== generation
0,60.9252,0.00395173,enc:[Linear(100),Linear(650)] [100] dec:[Linear(100)]
0,64.1584,0.00403386,enc:[Linear(100)] [100] dec:[Linear(700)]
0,64.1751,0.00393905,enc:[Linear(100)] [30] dec:[Linear(100)]
0,64.2934,0.00392665,enc:[Linear(100)] [50] dec:[Linear(100)]
0,64.2947,0.00391092,enc:[Linear(100)] [100] dec:[Linear(100)]
0,64.5789,0.00396752,enc:[Linear(100)] [20] dec:[Linear(100)]
0,64.7288,0.00395722,enc:[Linear(100)] [40] dec:[Linear(100)]
0,64.7834,0.00393043,enc:[Linear(100)] [60] dec:[Linear(100)]
0,102.1768,0.00386286,enc:[Linear(100)] [50] dec:[Linear(50)]
0,103.9938,0.00396721,enc:[Linear(650)] [60] dec:[Linear(100)]
0,104.1834,0.00395167,enc:[Linear(100),Linear(150)] [60] dec:[Linear(100)]
0,104.4548,0.00386325,enc:[Linear(100)] [100] dec:[Linear(50)]
0,104.4581,0.00399347,enc:[Linear(100)] [20] dec:[Linear(100),Linear(100)]
0,104.8365,0.00391185,enc:[Linear(100),Linear(200)] [100] dec:[Linear(100)]
1,150.1867,0.00402363,enc:[Linear(100),Linear(400)] [20] dec:[Linear(100),Linear(100)]
1,151.0715,0.00403093,enc:[Linear(650)] [60] dec:[Linear(250)]
1,151.4069,0.00401163,enc:[Linear(650)] [60] dec:[Linear(200)]
1,151.9496,0.00401983,enc:[Linear(100),Linear(650)] [100] dec:[Linear(350)]
1,152.1052,0.00392544,enc:[Linear(100),Linear(150)] [20] dec:[Linear(100)]
1,152.6045,0.00393735,enc:[Linear(100),Linear(150),Linear(50)] [60] dec:[Linear(100)]
1,152.7153,0.00400376,enc:[Linear(100),Linear(300)] [30] dec:[Linear(100)]
1,153.2274,0.00405157,enc:[Linear(100)] [60] dec:[Linear(100),Linear(1000)]
1,189.2866,0.00398662,enc:[Linear(300)] [60] dec:[Linear(100)]
2,232.9663,0.00400432,enc:[Linear(100)] [60] dec:[Linear(700)]
2,234.4321,0.00404511,enc:[Linear(100),Linear(650)] [100] dec:[Linear(700)]
2,234.4451,0.00398826,enc:[Linear(650)] [60] dec:[Linear(100),Linear(100)]
2,234.4856,0.00402790,enc:[Linear(500)] [60] dec:[Linear(250)]
2,236.0210,0.00402346,enc:[Linear(100),Linear(150),Linear(50)] [60] dec:[Linear(100),Linear(550)]
2,236.1755,0.00409650,enc:[Linear(650)] [60] dec:[Linear(100),Linear(1000)]
2,236.2010,0.00394916,enc:[Linear(100),Linear(400)] [20] dec:[Linear(100)]
2,237.1148,0.00399677,enc:[Linear(650),Linear(900)] [60] dec:[Linear(200)]
2,275.8355,0.00402735,enc:[Linear(100),Linear(150),Linear(50)] [60] dec:[Linear(650)]
2,277.0255,0.00403786,enc:[Linear(100),Linear(150),Linear(50)] [60] dec:[Linear(100),Linear(1000)]
2,277.5758,0.00399097,enc:[Linear(450),Linear(150)] [20] dec:[Linear(100)]
2,277.7550,0.00400779,enc:[Linear(300)] [60] dec:[Linear(100),Linear(200)]
2,279.3590,0.00398672,enc:[Linear(100),Linear(200)] [20] dec:[Linear(100)]
2,279.3630,0.00402396,enc:[Linear(100)] [60] dec:[Linear(100),Linear(1000),Linear(1000)]
2,279.5372,0.00389707,enc:[Linear(100),Linear(150),Linear(50),Linear(850)] [60] dec:[Linear(100)]
2,280.4678,0.00403188,enc:[Linear(100)] [100] dec:[Linear(700),Linear(850)]
2,312.8764,0.00406014,enc:[Linear(300)] [60] dec:[Linear(900)]
== generation
0,60.9252,0.00395173,enc:[Linear(100),Linear(650)] [100] dec:[Linear(100)]
0,64.1584,0.00403386,enc:[Linear(100)] [100] dec:[Linear(700)]
0,64.1751,0.00393905,enc:[Linear(100)] [30] dec:[Linear(100)]
0,64.2934,0.00392665,enc:[Linear(100)] [50] dec:[Linear(100)]
0,64.2947,0.00391092,enc:[Linear(100)] [100] dec:[Linear(100)]
0,64.5789,0.00396752,enc:[Linear(100)] [20] dec:[Linear(100)]
0,64.7288,0.00395722,enc:[Linear(100)] [40] dec:[Linear(100)]
0,64.7834,0.00393043,enc:[Linear(100)] [60] dec:[Linear(100)]
0,102.1768,0.00386286,enc:[Linear(100)] [50] dec:[Linear(50)]
