0,48.2163,0.67972302,[Layer(55x8)]
0,51.8334,0.64120001,[Layer(77x8)]
0,54.6766,0.84179640,[Layer(33x16)]
0,55.5347,0.85198355,[Layer(55x16)]
0,55.9215,0.80543447,[Layer(77x16)]
0,62.7898,0.97885269,[Layer(33x32)]
0,80.4840,1.07527256,[Layer(33x64)]
0,89.5688,0.96643794,[Layer(55x64)]
0,91.3265,0.28287524,[Layer(55x8),Layer(dropoutx16)]
0,98.6311,0.79596835,[Layer(33x64),Layer(11x16)]
0,120.2327,0.42907593,[Layer(33x16),Layer(dropoutx64)]
0,128.6727,0.91433322,[Layer(33x32),Layer(55x64)]
0,130.3019,0.84291583,[Layer(33x32),Layer(11x64)]
0,130.7229,0.36873567,[Layer(77x16),Layer(dropoutx8)]
0,133.6472,0.22274975,[Layer(77x8),Layer(55x8)]
0,134.9613,0.22018789,[Layer(55x8),Layer(dropoutx8)]
0,139.1423,0.83464652,[Layer(33x64),Layer(77x32)]
0,146.1625,0.76850867,[Layer(33x64),Layer(55x64)]
== generation
0,48.2163,0.67972302,[Layer(55x8)]
0,51.8334,0.64120001,[Layer(77x8)]
0,54.6766,0.84179640,[Layer(33x16)]
0,55.5347,0.85198355,[Layer(55x16)]
0,55.9215,0.80543447,[Layer(77x16)]
0,62.7898,0.97885269,[Layer(33x32)]
0,80.4840,1.07527256,[Layer(33x64)]
0,89.5688,0.96643794,[Layer(55x64)]
0,91.3265,0.28287524,[Layer(55x8),Layer(dropoutx16)]
0,98.6311,0.79596835,[Layer(33x64),Layer(11x16)]
0,120.2327,0.42907593,[Layer(33x16),Layer(dropoutx64)]
0,128.6727,0.91433322,[Layer(33x32),Layer(55x64)]
0,130.3019,0.84291583,[Layer(33x32),Layer(11x64)]
0,130.7229,0.36873567,[Layer(77x16),Layer(dropoutx8)]
0,133.6472,0.22274975,[Layer(77x8),Layer(55x8)]
0,134.9613,0.22018789,[Layer(55x8),Layer(dropoutx8)]
0,139.1423,0.83464652,[Layer(33x64),Layer(77x32)]
0,146.1625,0.76850867,[Layer(33x64),Layer(55x64)]
1,190.4726,0.48481104,[Layer(33x16),Layer(11x8)]
1,207.9628,0.86394155,[Layer(33x16),Layer(55x32)]
1,209.5943,0.22582552,[Layer(33x32),Layer(55x64),Layer(11x8)]
1,210.1792,0.86367977,[Layer(55x64),Layer(55x16)]
1,215.4410,0.86742818,[Layer(33x32),Layer(77x32)]
1,230.9098,0.73190218,[Layer(33x64),Layer(77x32),Layer(11x16)]
1,232.2500,0.70437813,[Layer(55x16),Layer(77x64)]
1,241.4575,0.22843501,[Layer(33x32),Layer(11x64),Layer(55x64)]
1,257.7744,0.75908738,[Layer(33x32),Layer(55x8)]
1,265.9415,0.58898306,[Layer(55x64),Layer(dropoutx16)]
1,270.8194,0.53572267,[Layer(33x64),Layer(11x16),Layer(33x32)]
== generation
0,48.2163,0.67972302,[Layer(55x8)]
0,51.8334,0.64120001,[Layer(77x8)]
0,54.6766,0.84179640,[Layer(33x16)]
0,55.5347,0.85198355,[Layer(55x16)]
0,55.9215,0.80543447,[Layer(77x16)]
0,62.7898,0.97885269,[Layer(33x32)]
0,80.4840,1.07527256,[Layer(33x64)]
0,89.5688,0.96643794,[Layer(55x64)]
0,91.3265,0.28287524,[Layer(55x8),Layer(dropoutx16)]
0,98.6311,0.79596835,[Layer(33x64),Layer(11x16)]
0,120.2327,0.42907593,[Layer(33x16),Layer(dropoutx64)]
0,128.6727,0.91433322,[Layer(33x32),Layer(55x64)]
0,130.3019,0.84291583,[Layer(33x32),Layer(11x64)]
0,130.7229,0.36873567,[Layer(77x16),Layer(dropoutx8)]
0,133.6472,0.22274975,[Layer(77x8),Layer(55x8)]
0,134.9613,0.22018789,[Layer(55x8),Layer(dropoutx8)]
0,139.1423,0.83464652,[Layer(33x64),Layer(77x32)]
0,146.1625,0.76850867,[Layer(33x64),Layer(55x64)]
1,190.4726,0.48481104,[Layer(33x16),Layer(11x8)]
1,207.9628,0.86394155,[Layer(33x16),Layer(55x32)]
1,209.5943,0.22582552,[Layer(33x32),Layer(55x64),Layer(11x8)]
1,210.1792,0.86367977,[Layer(55x64),Layer(55x16)]
1,215.4410,0.86742818,[Layer(33x32),Layer(77x32)]
1,230.9098,0.73190218,[Layer(33x64),Layer(77x32),Layer(11x16)]
1,232.2500,0.70437813,[Layer(55x16),Layer(77x64)]
1,241.4575,0.22843501,[Layer(33x32),Layer(11x64),Layer(55x64)]
1,257.7744,0.75908738,[Layer(33x32),Layer(55x8)]
1,265.9415,0.58898306,[Layer(55x64),Layer(dropoutx16)]
1,270.8194,0.53572267,[Layer(33x64),Layer(11x16),Layer(33x32)]
2,310.5981,0.24248938,[Layer(dropoutx16)]
2,311.5696,0.24576677,[Layer(33x32),Layer(11x8)]
2,327.8989,0.86204505,[Layer(77x32)]
2,339.4212,0.72734380,[Layer(33x16),Layer(55x32),Layer(33x32)]
2,351.2172,0.22462513,[Layer(55x64),Layer(33x16),Layer(55x32)]
2,352.4556,0.59549522,[Layer(33x32),Layer(77x32),Layer(77x16)]
2,363.1034,0.22559987,[Layer(33x16),Layer(33x64),Layer(77x32),Layer(11x16)]
2,368.4421,0.21976551,[Layer(33x64),Layer(77x32),Layer(11x16),Layer(11x32)]
2,382.6338,0.22664641,[Layer(55x16),Layer(55x64),Layer(55x16)]
2,385.8694,0.37615776,[Layer(55x64),Layer(dropoutx16),Layer(dropoutx64)]
2,390.9273,0.38461196,[Layer(33x16),Layer(dropoutx16)]
2,406.1662,0.50389987,[Layer(55x64),Layer(dropoutx16),Layer(33x8)]
2,415.2680,0.72453368,[Layer(33x64),Layer(11x16),Layer(55x64)]
2,430.7244,0.22335623,[Layer(33x32),Layer(11x64),Layer(55x64),Layer(33x32)]
2,445.2154,0.64840829,[Layer(33x32),Layer(55x64),Layer(dropoutx16)]
2,458.6897,0.39222226,[Layer(55x64),Layer(dropoutx16),Layer(dropoutx32)]
2,484.1736,0.23290607,[Layer(33x32),Layer(11x64),Layer(55x64),Layer(77x32)]
== generation
0,48.2163,0.67972302,[Layer(55x8)]
0,51.8334,0.64120001,[Layer(77x8)]
0,54.6766,0.84179640,[Layer(33x16)]
0,55.5347,0.85198355,[Layer(55x16)]
0,55.9215,0.80543447,[Layer(77x16)]
0,62.7898,0.97885269,[Layer(33x32)]
0,80.4840,1.07527256,[Layer(33x64)]
0,89.5688,0.96643794,[Layer(55x64)]
0,91.3265,0.28287524,[Layer(55x8),Layer(dropoutx16)]
0,98.6311,0.79596835,[Layer(33x64),Layer(11x16)]
0,120.2327,0.42907593,[Layer(33x16),Layer(dropoutx64)]
0,128.6727,0.91433322,[Layer(33x32),Layer(55x64)]
0,130.3019,0.84291583,[Layer(33x32),Layer(11x64)]
0,130.7229,0.36873567,[Layer(77x16),Layer(dropoutx8)]
0,133.6472,0.22274975,[Layer(77x8),Layer(55x8)]
0,134.9613,0.22018789,[Layer(55x8),Layer(dropoutx8)]
0,139.1423,0.83464652,[Layer(33x64),Layer(77x32)]
0,146.1625,0.76850867,[Layer(33x64),Layer(55x64)]
1,190.4726,0.48481104,[Layer(33x16),Layer(11x8)]
1,207.9628,0.86394155,[Layer(33x16),Layer(55x32)]
1,209.5943,0.22582552,[Layer(33x32),Layer(55x64),Layer(11x8)]
1,210.1792,0.86367977,[Layer(55x64),Layer(55x16)]
1,215.4410,0.86742818,[Layer(33x32),Layer(77x32)]
1,230.9098,0.73190218,[Layer(33x64),Layer(77x32),Layer(11x16)]
1,232.2500,0.70437813,[Layer(55x16),Layer(77x64)]
1,241.4575,0.22843501,[Layer(33x32),Layer(11x64),Layer(55x64)]
1,257.7744,0.75908738,[Layer(33x32),Layer(55x8)]
1,265.9415,0.58898306,[Layer(55x64),Layer(dropoutx16)]
1,270.8194,0.53572267,[Layer(33x64),Layer(11x16),Layer(33x32)]
2,310.5981,0.24248938,[Layer(dropoutx16)]
2,311.5696,0.24576677,[Layer(33x32),Layer(11x8)]
2,327.8989,0.86204505,[Layer(77x32)]
2,339.4212,0.72734380,[Layer(33x16),Layer(55x32),Layer(33x32)]
2,351.2172,0.22462513,[Layer(55x64),Layer(33x16),Layer(55x32)]
2,352.4556,0.59549522,[Layer(33x32),Layer(77x32),Layer(77x16)]
2,363.1034,0.22559987,[Layer(33x16),Layer(33x64),Layer(77x32),Layer(11x16)]
2,368.4421,0.21976551,[Layer(33x64),Layer(77x32),Layer(11x16),Layer(11x32)]
2,382.6338,0.22664641,[Layer(55x16),Layer(55x64),Layer(55x16)]
2,385.8694,0.37615776,[Layer(55x64),Layer(dropoutx16),Layer(dropoutx64)]
2,390.9273,0.38461196,[Layer(33x16),Layer(dropoutx16)]
2,406.1662,0.50389987,[Layer(55x64),Layer(dropoutx16),Layer(33x8)]
2,415.2680,0.72453368,[Layer(33x64),Layer(11x16),Layer(55x64)]
2,430.7244,0.22335623,[Layer(33x32),Layer(11x64),Layer(55x64),Layer(33x32)]
2,445.2154,0.64840829,[Layer(33x32),Layer(55x64),Layer(dropoutx16)]
2,458.6897,0.39222226,[Layer(55x64),Layer(dropoutx16),Layer(dropoutx32)]
2,484.1736,0.23290607,[Layer(33x32),Layer(11x64),Layer(55x64),Layer(77x32)]
3,524.1399,0.22821027,[Layer(dropoutx16),Layer(dropoutx64)]
3,533.1679,0.40481561,[Layer(33x64),Layer(11x16),Layer(dropoutx16)]
3,549.7622,0.23557369,[Layer(33x32),Layer(55x64),Layer(dropoutx16),Layer(11x16)]
3,553.9388,0.22434743,[Layer(33x16),Layer(55x32),Layer(33x32),Layer(dropoutx32)]
3,564.5968,0.21705475,[Layer(33x64),Layer(11x16),Layer(55x64),Layer(55x16)]
3,566.1397,0.63920116,[Layer(33x16),Layer(55x64),Layer(dropoutx16)]
3,566.7458,0.82513076,[Layer(77x32),Layer(11x64)]
3,570.8436,0.58484709,[Layer(33x32),Layer(55x64),Layer(dropoutx16),Layer(33x32)]
3,575.9376,0.38145733,[Layer(55x64),Layer(dropoutx16),Layer(dropoutx64),Layer(11x16)]
3,601.0501,0.67842221,[Layer(77x32),Layer(33x8)]
3,613.5936,0.22921686,[Layer(33x32),Layer(77x32),Layer(77x16),Layer(11x16)]
3,635.5806,0.22869299,[Layer(33x32),Layer(11x8),Layer(11x64)]
3,640.9769,0.22464326,[Layer(55x64),Layer(dropoutx16),Layer(dropoutx64),Layer(55x32)]
3,650.5756,0.23770294,[Layer(55x64),Layer(dropoutx16),Layer(55x64),Layer(dropoutx16),Layer(dropoutx64)]
3,656.2581,0.22718596,[Layer(55x64),Layer(33x16),Layer(55x32),Layer(33x32)]
== generation
0,48.2163,0.67972302,[Layer(55x8)]
0,51.8334,0.64120001,[Layer(77x8)]
0,54.6766,0.84179640,[Layer(33x16)]
0,55.5347,0.85198355,[Layer(55x16)]
0,55.9215,0.80543447,[Layer(77x16)]
0,62.7898,0.97885269,[Layer(33x32)]
0,80.4840,1.07527256,[Layer(33x64)]
